INFO:root:Getting 5 tweets for vksingh843. (Or ~3200, whichever is lower.)
INFO:root:Getting 27532 tweets for realDonaldTrump. (Or ~3200, whichever is lower.)
INFO:root:Getting 34268 tweets for realDonaldTrump. (Or ~3200, whichever is lower.)
INFO:root:Getting 34268 tweets for realDonaldTrump. (Or ~3200, whichever is lower.)
INFO:root:Getting 34268 tweets for realDonaldTrump. (Or ~3200, whichever is lower.)
INFO:root:Getting 34268 tweets for realDonaldTrump. (Or ~3200, whichever is lower.)
INFO:root:Getting 6580 tweets for jk_rowling. (Or ~3200, whichever is lower.)
INFO:root:Getting 6580 tweets for jk_rowling. (Or ~3200, whichever is lower.)
INFO:root:Getting 44090 tweets for nickcohen4. (Or ~3200, whichever is lower.)
INFO:root:Getting 56986 tweets for GameOfThrones. (Or ~3200, whichever is lower.)
INFO:root:Getting 56986 tweets for GameOfThrones. (Or ~3200, whichever is lower.)
INFO:root:Getting 57002 tweets for GameOfThrones. (Or ~3200, whichever is lower.)
INFO:root:Getting 57002 tweets for GameOfThrones. (Or ~3200, whichever is lower.)
INFO:root:Getting 372 tweets for AntiJokeCat. (Or ~3200, whichever is lower.)
